comment,replies,date,user_name
Mike Tyson won that Buster Douglas fight. That ref was a retard!,[],2023-02-22T17:47:47Z,@Hollyweirdification
Robin Givens and Don King will both have nice hot spots beside each other in hell. Notice it wasn't until Mike let black folk back into his life that everything went to shit! Cus would've shot Don King of he'd when seen him in the same arena!,[],2023-02-22T17:43:32Z,@Hollyweirdification
Ref counted to 12 in the buster fight. Tyson won.,[],2023-02-16T02:00:43Z,@blackjackmusic1107
"Mike will always be cool in my book. It was a pleasure watching his career. (And, I still watch HotBoxin with Mike Tyson.)",[],2023-02-11T03:32:50Z,@twatttheworldaccordingtoto4339
Baddest dude to ever walk Earth,[],2023-02-02T14:05:35Z,@JBirch1990
Don King Destroy his Career,[],2023-01-29T17:33:31Z,@alejandroborja427
"12 years old
190lb.....OF MUSCLE, thats the true definition of psychotic genetics!",[],2023-01-20T22:10:16Z,@okdok3742
"imagine if he was 6'2 250lb......
i swear the earth would break lololol.",[],2023-01-20T22:09:40Z,@okdok3742
"As Mike says at the end, “Cus broke him down and rebuilt him.” He achieved more than he ever thought  was possible as a kid. Then life broke him down again, and since then he’s rebuilt himself and become a thoughtful beautiful soul. Hard to say if I respect prime mike the fighter or current mike the philosopher more.",[],2023-01-19T06:07:55Z,@nebbie
Tyson best of all time,[],2023-01-13T05:41:55Z,@TonyStark-lj2gh
"There will NEVER be another boxer, like Mike Tyson",[],2023-01-08T23:41:00Z,@loneranger7877
This guy trying to brainwash all of his viewers into believing that Mike Tyson won the Douglas fight. It’s not a 10 second count it’s the ref’s count and that same ref was hired by Don King who also gave Mike Tyson a long count. What a Tyson fanboy lol,[],2023-01-08T22:06:34Z,@kykise1395
I'm the most destructive ferocious fighting machine that God ever created!,[],2023-01-07T04:05:32Z,@TrinTheGoddess
Go look up King T3z don’t like me it go crazy they next up,[],2023-01-05T04:07:09Z,@juansmith1753
That's no man...that is a thing unhinged,[],2022-12-28T11:20:32Z,@Iamjustaguy123
"Company of Alians😃
Tyson😃
Foreman😁
Sugar Leonard😀
Roy jones jr.😆
I was at the hospital and asked other patients waiting for the match to wake me up when it started at 4am. It also wakes me upI ask if the match has started. They're done. What is done? Spinks in 90 sek.🤣😂",[],2022-12-23T16:58:58Z,@iggy9955
Such a sad story about such a Great Boxer and he was taken down by a bimbo and a hyena.,[],2022-12-18T02:08:49Z,@trevorjones7450
Once he lost Cuz then Jacobs it fkd him up but a true warrior never gives up & HE NEVER RAPED THAT BITCH !!!! 🤬SHE SHOULD BE MADE TO GIVE THE £ BACK N DO TIME!!!,[],2022-12-17T13:06:34Z,@fionakilpatrick9234
All the sharks took their bites out of him over & over !! Head butted by Holyfield & used by these leeches & bitches for cash & fame !! I fkn lv Mike Tyson & he will always be the best fighter of his time !!!!!! PERIOD!!! ❤,[],2022-12-17T13:05:19Z,@fionakilpatrick9234
“My defense is impregnable you will not get get his defense pregnant,[],2022-12-04T21:55:34Z,@chrislewis5069
